🕘️更新时间,#genre#
内蒙古卫视,http://satellitepull.cnr.cn/live/wx32nmgws/playlist.m3u8
宁夏卫视,http://satellitepull.cnr.cn/live/wxnxws/playlist.m3u8
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
山西卫视,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
四川卫视,http://satellitepull.cnr.cn/live/wxscws/playlist.m3u8
三沙卫视,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227172/index.m3u8
天津卫视,http://nas.hssvm.com:8888/udp/225.1.1.111:5002
天津卫视,http://112.123.243.37:50085/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://gfr.x3322.net:9901/tsfile/live/1090_1.m3u8
天津卫视,http://113.26.202.52:1299/tsfile/live/0135_1.m3u8
天津卫视,http://183.131.246.250:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
天津卫视,http://drive.mxmy.net:8888/udp/239.3.1.141:1234
天津卫视,http://111.61.236.247:9081/hls/29/index.m3u8
天津卫视,http://113.15.109.216:59901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://1b6467f415.iok.la:9931/tsfile/live/1064_1.m3u8
西藏卫视,http://satellitepull.cnr.cn/live/wxxzws/playlist.m3u8
新疆卫视,http://satellitepull.cnr.cn/live/wxxjws/playlist.m3u8
云南卫视,http://satellitepull.cnr.cn/live/wxynws/playlist.m3u8

🏀体育频道,#genre#
纬来体育,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
Sky Sports F1,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
Astro Football,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
EuroSport 1,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport 2,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
TNT SPORTS 1,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT SPORTS 2,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT SPORTS 3,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
